date,equity
2024-10-31,333
2024-11-01,332
2024-11-02,334
2024-11-03,359
2024-11-04,372
2024-11-05,374
2024-11-06,387
2024-11-07,394
2024-11-08,378
2024-11-09,354
2024-11-10,329
2024-11-11,344
2024-11-12,368
2024-11-13,366
2024-11-14,419
2024-11-15,428
2024-11-16,459
2024-11-17,463
2024-11-18,462
2024-11-19,525
2024-11-20,516
2024-11-21,645
2024-11-22,628
2024-11-23,573
2024-11-25,575
2024-11-26,554
2024-11-27,542
2024-11-28,484
2024-11-29,504
2024-11-30,1046
2024-12-01,1152
2024-12-02,531
2024-12-03,528
2024-12-04,525
2024-12-05,541
2025-12-06,550.05
2025-12-07,1017.58
2025-12-08,1003.68
2025-12-09,962.01
2025-12-10,980.75
2025-12-11,1034.75
2025-12-12,1054.03
2025-12-13,1035.26
2025-12-14,1047.91
2025-12-15,1091.62
2025-12-16,1055.63
2025-12-17,1117.83
2025-12-18,1119.58
2025-12-19,1155.88
2025-12-20,1117.24
2025-12-21,1103.93
2025-12-22,1050.42
2025-12-23,1149.54
2025-12-24,1165.99
2025-12-25,1189.10
2025-12-26,1256.57
2025-12-27,1225.23
2025-12-28,1168.26
2025-12-29,1172.99
2025-12-30,1140.68
2025-12-31,1170.23
2026-01-01,1621.90
2026-01-02,1613.49
2026-01-03,1607.06
2026-01-04,1576.67
2026-01-05,1526.77
2026-01-06,1559.91
2026-01-07,1484.70
2026-01-08,1422.55
2026-01-09,1423.25
2026-01-10,1423.30
2026-01-11,1441.70
2026-01-12,1473.03
2026-01-13,1546
2026-01-14,1728
2026-01-15,1682
2026-01-16,1509
2026-01-17,1781
2026-01-18,1779
2026-01-19,1420
2026-01-20,1103
2026-01-21,1056
2026-01-22,1058
2026-01-23,1051
2026-01-24,1021
2026-01-25,1072
2026-01-26,1035
2026-01-27,994
2026-01-28,973
2026-01-29,1256
2026-01-30,1306
2026-01-31,1529
2026-02-01,1995
2026-02-02,1966
2026-02-03,1988
2026-02-04,2130
2026-02-05,2458
2026-02-06,2213
2026-02-07,2258
2026-02-08,2160
2026-02-09,2245
2026-02-10,2337
2026-02-11,2588
2026-02-12,2509
2026-02-13,2356
2026-02-14,2071
2026-02-15,2136
2026-02-16,2364
2026-02-17,2369
2026-02-18,2331
2026-02-19,2587
2026-02-20,2293
2026-02-21,2222
2026-02-22,2407
2026-02-23,2493
2026-02-24,2591
2026-02-25,2044
2026-02-26,2049
2026-02-27,2317













